snp_candidate,libdem_vote,labour_share,ukip_vote,conservative_share,green_vote,green_swing,labour_vote,ukip_share,libdem_swing,constituency_code,conservative_candidate,ukip_swing,green_share,majority,ukip_candidate,conservative_swing,green_candidate,labour_candidate,conservative_vote,snp_swing,turnout,snp_share,snp_vote,libdem_share,libdem_candidate,labour_swing
,3169,49.2,6313,17.5,943,3.0,15646,19.9,-14.3,E14000773,Jo Barker,14.5,3.0,LAB,Paul Salvidge,-2.7,Angela Needham,Alan Johnson,5561,,53.9,,,10.0,Claire Thomas,6.7
,20415,14.5,4321,39.2,2322,2.9,8574,7.3,-15.3,E14000770,James Berry,4.8,3.9,CON,Ben Roberts,2.7,Clare Keogh,Lee Godfrey,23249,,72.9,,,34.5,Ed Davey,5.1
,1490,78.1,4973,6.6,1270,2.5,39628,9.8,-10.4,E14000775,Alice Bramall,7.2,2.5,LAB,Louise Bours,-2.3,Vikki Gregorich,George Howarth,3367,,64.1,,,2.9,Carl Cashman,7.2
,1827,29.6,7133,48.3,1370,2.0,14246,14.8,-13.1,E14000774,Chris Skidmore,11.6,2.8,CON,Duncan Odgers,7.9,Cezara Nanu,Jo McCarron,23252,,70.8,,,3.8,Adam Boyden,-5.7
,2294,51.7,7861,15.9,806,2.3,18180,22.4,-16.3,E14000771,Christine Mackay,14.3,2.3,LAB,Richard Barrett,-0.7,Sarah Walpole,Karl Turner,5593,,53.6,,,6.5,David Nolan,3.8
,1390,42.3,4060,39.2,2093,0.6,17643,9.7,-15.8,E14000776,Eric Ollerenshaw,7.3,5.0,LAB,Matthew Atkins,3.2,Chris Coates,Catherine Smith,16378,,68.6,,,3.3,Robin Long,7.0
,1296,53.7,7256,20.9,1117,2.9,20530,19.0,-14.1,E14000778,Ryan Stephenson,19.0,2.9,LAB,Mark Maniatt,-2.2,Kate Bisson,Richard Burgon,7997,,59.0,,,3.4,Ed Sanderson,3.4
,2569,47.9,3706,32.9,2541,5.3,23137,7.7,-14.3,E14000779,Simon Wilson,5.9,5.3,LAB,Warren Hendon,-0.2,Emma Carter,Fabian Hamilton,15887,,69.9,,,5.3,Aqila Choudhry,5.2
,1529,55.0,7082,17.3,3558,7.9,24758,15.7,-17.4,E14000777,Nicola Wilson,15.7,7.9,LAB,Luke Senior,-2.9,Michael Hayton,Hilary Benn,7791,,55.1,,,3.4,Emma Spriggs,5.7
,1495,48.0,7104,20.1,3217,3.6,18456,18.5,-20.3,E14000781,Alex Pierre-Traves,15.5,8.4,LAB,Anne Murgatroyd,0.4,Andrew Pointon,Rachel Reeves,7729,,59.2,,,3.9,Laura Coyle,5.7
,2127,59.8,3832,21.0,2533,3.9,27473,8.3,-22.3,E14000783,Leon Hadji-Nikolaou,6.8,5.5,LAB,Peter Stone,-0.4,Gabby Garcia,Jonathan Ashworth,9628,,62.5,,,4.6,Anita Prabhakar,14.2
,15948,30.1,2997,18.6,3042,5.8,13041,6.9,-10.7,E14000780,Alex Story,5.5,7.0,LD,Julian Metcalfe,-7.9,Tim Goodall,Alex Sobel,8083,,70.0,,,36.8,Greg Mulholland,9.1
,1150,53.9,8903,22.6,,,24312,19.7,-15.6,E14000785,Louisa Danielle Townson,16.3,,LAB,Les Leggett,1.7,,Andy Burnham,10216,,59.4,,,2.5,Bill Winlow,5.8
,1233,61.1,4290,23.0,1468,1.5,29386,8.9,-11.6,E14000782,Kishan Devani,7.4,3.1,LAB,Susanna Steptoe,-1.5,Nimit Jethwa,Keith Vaz,11034,,63.7,,,2.6,Dave Raval,7.4
,1507,46.5,5950,25.6,1878,3.7,16051,17.2,-18.3,E14000784,Paul Bessant,14.8,5.4,LAB,Stuart Young,-1.5,Peter Hague,Liz Kendall,8848,,54.6,,,4.4,Ian Bradwell,8.1
,2304,58.6,2341,22.0,2974,5.9,23858,5.8,-22.0,E14000790,Matthew Scott,3.1,7.3,LAB,Rosamund Beattie,-0.3,Ashley Gunstock,John Cryer,8939,,62.9,,,5.7,Carl Quilliam,15.0
,2455,55.7,3886,22.3,2429,4.2,23907,9.1,-22.4,E14000787,Peter Fortune,7.2,5.7,LAB,Anne Maria Waters,-1.3,Störm Poorun,Heidi Alexander,9574,,58.5,,,5.7,Julia Fletcher,12.6
,3709,50.6,3764,24.2,4077,6.4,24347,7.8,-20.4,E14000788,Russell Jackson,5.3,8.5,LAB,Gary Harding,-1.3,Tom Chance,Jim Dowd,11633,,66.6,,,7.7,Alex Feakes,9.5
,2497,60.2,2013,14.9,5932,5.8,28572,4.2,-18.1,E14000789,Bim Afolami,4.2,12.5,LAB,Massimo Dimambro,1.4,John Coughlin,Vicky Foxcroft,7056,,64.6,,,5.3,Michael Bukola,6.6
,18123,9.9,5427,38.0,2784,4.1,5000,10.7,-16.1,E14000786,Maria Caulfield,7.3,5.5,CON,Ray Finch,1.3,Alfie Stirling,Lloyd Russell-Moyle,19206,,72.7,,,35.9,Norman Baker,4.9
,2700,19.8,8082,55.2,1976,3.8,10200,15.7,-14.9,E14000791,Michael Fabricant,10.0,3.8,CON,John Rackham,0.8,Robert Pass,Chris Worsey,28389,,61.8,,,5.2,Paul Ray,0.0
,959,75.2,3475,6.6,996,2.4,30842,8.5,-10.2,E14000796,Ed McRandal,5.4,2.4,LAB,Neil Miney,-2.6,Rebecca Lawson,Stephen Twigg,2710,,64.2,,,2.3,Paul Twigger,11.0
,899,81.3,3445,4.7,956,2.5,31222,9.0,-11.9,E14000794,Norsheen Bhatti,6.4,2.5,LAB,Steven Flatman,-1.8,Jonathan Clatworthy,Steven Rotheram,1802,,61.1,,,2.3,Pat Moloney,9.3
,2255,18.0,10778,51.2,1549,3.1,9077,21.4,-17.7,E14000798,Victoria Atkins,17.1,3.1,CON,Colin Mair,1.5,Romy Rayner,Matthew Brown,25755,,67.8,,,4.5,Lisa Gabriel,0.7
,2454,69.3,3375,10.0,2140,3.6,28401,8.2,-28.2,E14000795,James Pearson,5.9,5.2,LAB,Adam Heatherington,2.5,Peter Cranie,Luciana Berger,4098,,66.4,,,6.0,Leo Evans,16.2
,1719,67.4,2510,9.6,5372,8.6,29835,5.7,-18.9,E14000793,Jackson Ng,3.9,12.1,LAB,Joe Chiffers,-1.3,Martin Dobson,Louise Ellman,4245,,62.4,,,3.9,Paul Childs,8.1
,6469,12.3,7164,54.3,2435,4.1,5902,14.9,-19.3,E14000799,Philip Dunne,10.5,5.1,CON,David Kelly,1.5,Janet Phillips,Simon Slater,26093,,72.4,,,13.5,Charlotte Barnes,5.6
,1992,39.6,5721,42.6,,,18533,12.2,-16.0,E14000792,Karl McCartney,10.0,,CON,Nick Smith,5.1,,Lucy Rigby,19976,,63.2,,,4.3,Ross Pepper,4.3
,1299,52.2,5318,29.9,972,1.1,22243,12.5,-8.1,E14000800,Dean Russell,8.9,2.3,LAB,Allan White,-1.9,Sofiya Ahmed,Kelvin Hopkins,12739,,64.0,,,3.1,Aroosa Ulzaman,3.0
,3183,44.2,5129,30.7,1237,2.1,18660,12.1,-15.1,E14000801,Katie Redmond,9.8,2.9,LAB,Yasin Rehman,1.3,Simon Hall,Gavin Shuker,12949,,62.8,,,7.5,Ashuk Ahmed,9.3
,3842,22.7,6037,52.5,2404,3.2,11252,12.2,-15.3,E14000802,David Rutley,9.3,4.8,CON,Adrian Howard,5.6,Joan Plimmer,Tim Roca,26063,,69.3,,,7.7,Neil Christian,2.4
,2130,31.9,5704,49.5,1845,3.5,16579,11.0,-14.2,E14000797,Nicky Morgan,9.2,3.5,CON,Bill Piper,7.9,Matt Sisson,Matthew O'Callaghan,25762,,71.6,,,4.1,Steve Coltman,-2.6
,1782,67.1,3434,9.7,4108,7.0,28187,8.2,-28.4,E14000808,Mohammed Afzal,8.2,9.8,LAB,Phil Eckersley,-1.4,Laura Bannister,Gerald Kaufman,4063,,57.6,,,4.2,Dave Page,17.0
,1639,51.8,10053,19.5,1136,2.5,23208,22.4,-12.5,E14000805,Zehra Zaidi,22.4,2.5,LAB,Andrew Collinson,0.8,Philip Mitchell,Yvonne Fovargue,8752,,60.2,,,3.7,John Skipworth,4.5
,5337,11.9,4539,65.8,1915,2.7,6394,8.4,-18.3,E14000803,Theresa May,6.1,3.6,CON,Herbie Crossman,6.4,Emily Blyth,Charles Smith,35453,,71.8,,,9.9,Tony Hill,4.8
,12036,10.5,7930,45.5,1396,1.5,5268,15.9,-11.9,E14000804,Helen Grant,12.5,2.8,CON,Eddie Powell,-2.5,Hannah Patton,Allen Simpson,22745,,68.3,,,24.1,Jasper Gerard,0.8
,2157,11.8,7042,60.6,1504,3.1,5690,14.7,-14.8,E14000806,John Whittingdale,9.6,3.1,CON,Beverley Acevedo,0.8,Robert Graves,Peter Edwards,29112,,69.2,,,4.5,Zoe O'Connell,-0.8
,11970,53.7,2172,9.8,4048,6.3,26843,4.3,-20.7,E14000809,Robert Manning,2.8,8.1,LAB,Mark Davies,-1.4,Lucy Bannister,Jeff Smith,4872,,67.5,,,24.0,John Leech,13.3
,1642,39.4,11850,28.2,1486,3.1,18603,25.1,-12.0,E14000810,Andrea Clarke,18.9,3.1,LAB,Sid Pepper,1.8,Paul Frost,Alan Meale,13288,,60.9,,,3.5,Tony Rogers,0.7
,4987,10.9,7665,61.1,1831,3.5,5656,14.8,-22.9,E14000811,George Hollingbery,11.9,3.5,CON,David Alexander,4.8,Diana Korchien,Gemma McKenna,31578,,71.1,,,9.6,Chris Carrigan,4.6
,2292,25.4,6497,52.2,1898,4.0,12134,13.6,-15.7,E14000814,Pauline Latham,11.0,4.0,CON,Martin Fitzpatrick,3.9,Sue MacFarlane,Nicola Heaton,24908,,70.6,,,4.8,Hilary Jones,1.0
,4193,15.9,8966,56.1,2462,2.8,9217,15.4,-17.7,E14000813,Nadine Dorries,10.3,4.2,CON,Nigel Wickens,3.6,Gareth Ellis,Charlynne Pullen,32544,,71.6,,,7.2,Linda Jack,1.1
,2638,19.0,8908,54.7,2170,2.8,9996,16.9,-12.8,E14000812,Caroline Spelman,14.3,4.1,CON,Mick Gee,3.1,Alison Gavin,Tom McNeil,28791,,64.9,,,5.0,Ade Adeyemo,-1.5
,1867,61.3,5033,13.5,3838,6.2,27772,11.1,-22.5,E14000807,Xingang Wang,9.6,8.5,LAB,Myles Power,1.7,Kieran Turner-Dave,Lucy Powell,6133,,52.7,,,4.1,John Reid,8.5
,13109,6.0,5663,50.8,1321,2.8,2767,12.2,-16.9,E14000815,Michael Tomlinson,7.7,2.8,CON,Richard Turner,6.3,Mark Chivers,Patrick Canavan,23639,,67.5,,,28.2,Vikki Slade,0.1
,6604,13.9,6898,56.1,2453,3.1,7982,12.0,-26.0,E14000817,Nicholas Soames,9.5,4.3,CON,Toby Brothers,5.4,Miranda Diboll,Greg Mountain,32268,,72.3,,,11.5,Daisy Cooper,7.3
,3300,18.4,9930,52.1,2191,1.3,9585,19.0,-15.9,E14000816,George Freeman,13.5,4.2,CON,Anna Coke,2.6,Simeon Jackson,Harry Clarke,27206,,67.8,,,6.3,Paul Speed,0.9
,1564,42.0,6935,37.1,1060,2.3,19193,15.2,-12.5,E14000820,Will Goodhand,11.1,2.3,LAB,Steve Turner,1.4,Martin Brampton,Tom Blenkinsop,16925,,64.2,,,3.4,Ben Gibson,2.8
,3750,14.5,9231,57.0,1933,2.5,7548,17.7,-16.2,E14000818,Nigel Huddleston,11.7,3.7,CON,Richard Keel,2.5,Neil Franks,Robin Lunn,29763,,71.5,,,7.2,Margaret Rowley,-0.5
,3575,30.3,6852,47.2,2255,2.5,17491,11.9,-15.9,E14000821,Mark Lancaster,8.6,3.9,CON,David Reilly,3.8,Jennifer Marklew,Emily Darlington,27244,,68.0,,,6.2,Paul Graham,3.5
,1378,60.7,4287,23.2,1422,2.3,27380,9.5,-8.8,E14000823,Paul Holmes,7.5,3.2,LAB,Richard Hilton,-2.1,Mason Redding,Siobhain McDonagh,10458,,65.9,,,3.1,Diana Coman,4.2
,1220,56.8,6107,16.5,1407,4.3,18584,18.7,-16.2,E14000819,Simon Clarke,15.0,4.3,LAB,Nigel Baker,-2.3,Hannah Graham,Andy McDonald,5388,,52.9,,,3.7,Richard Kilpatrick,10.9
,7981,8.3,6181,60.6,2979,3.8,4565,11.2,-14.3,E14000824,Paul Beresford,6.1,5.4,CON,Paul Oakley,3.1,Jacquetta Fewster,Len Amos,33434,,74.2,,,14.5,Paul Kennedy,1.3
,2309,32.1,7803,46.8,1936,1.9,18929,13.2,-13.8,E14000822,Iain Stewart,9.5,3.3,CON,Vince Peddle,5.2,Samantha Pancheri,Andrew Pakes,27601,,67.0,,,3.9,Lisa Smith,-0.1
,4626,12.2,8657,56.3,2327,2.7,6018,17.5,-20.9,E14000827,Julian Lewis,12.5,4.7,CON,Roy Swales,3.4,Sally May,Andrew Pope,27819,,68.0,,,9.4,Bruce Tennent,2.3
,3293,10.8,7816,59.9,2748,3.6,5133,16.5,-16.4,E14000828,Desmond Swayne,10.6,5.8,CON,Paul Bailey,1.1,Janet Richards,Lena Samuels,28420,,69.2,,,6.9,Imogen Shepherd-DuBey,1.0
,1612,34.9,5358,45.5,1395,1.8,15101,12.4,-9.6,E14000825,David Morris,8.1,3.2,CON,Steven Ogden,4.0,Phil Chandler,Amina Lone,19691,,65.0,,,3.7,Matthew Severn,-4.6
,8605,8.4,6195,61.0,2324,3.2,4837,10.8,-20.5,E14000830,Richard Benyon,8.3,4.1,CON,Catherine Anderson,4.6,Paul Field,Jonny Roberts,34973,,72.5,,,15.0,Judith Bunting,4.2
,2385,21.7,6294,57.0,1792,3.4,11360,12.0,-15.4,E14000829,Robert Jenrick,8.2,3.4,CON,Brian Mapletoft,3.2,Elayne Forster,Michael Payne,29834,,70.9,,,4.6,David Dobbie,-0.6
,1426,38.0,7951,38.9,1264,2.6,18354,16.5,-13.8,E14000826,Andrea Jenkyns,13.4,2.6,CON,David Dews,3.6,Martin Hemingway,Ed Balls,18776,,63.3,,,3.0,Rebecca Taylor,0.4
,4332,49.4,4910,17.6,3426,7.1,19378,12.5,-22.2,E14000832,Duncan Crute,12.5,8.7,LAB,David Robinson-Young,1.5,Andrew Gray,Nick Brown,6884,,52.9,,,11.0,Wendy Taylor,4.4
,2218,55.0,5214,18.9,1724,3.3,19301,14.9,-17.8,E14000831,Simon Kitchen,12.7,4.9,LAB,Daniel Thompson,-0.5,Alex Johnson,Chi Onwurah,6628,,57.5,,,6.3,Nick Cott,9.1
,4366,46.1,7447,23.5,1515,2.6,20689,16.6,-23.4,E14000833,Stephen Bates,13.7,3.4,LAB,Tim Marron,5.3,Alison Whalley,Catherine McKinnell,10536,,66.7,,,9.7,Anita Lower,5.2
,1330,54.9,9785,20.8,,,25213,21.3,-13.5,E14000836,Beth Prescott,21.3,,LAB,Nathan Garbutt,-3.6,,Yvette Cooper,9569,,55.6,,,2.9,Edward McMillan-Scott,6.7
,1826,38.4,7252,36.9,1246,2.9,16520,16.9,-15.4,E14000834,Tony Cox,8.8,2.9,LAB,Phil Wood,2.5,Sam Gibbons,Paul Farrelly,15870,,64.4,,,4.2,Ian Wilkes,0.5
,11506,9.8,6726,47.3,2216,3.1,4736,14.0,-18.1,E14000835,Anne Marie Morris,7.6,4.6,CON,Rod Peers,4.3,Steven Smyth-Bonfield,Roy Freer,22794,,69.1,,,23.9,Richard Younger-Ross,2.8
,2046,54.9,6404,20.9,1246,3.1,22047,16.0,-15.9,E14000840,Laetitia Glossop,12.7,3.1,LAB,Malcolm Bint,-0.1,Vicki Nolan,Kevan Jones,8403,,61.4,,,5.1,Peter Maughan,4.4
,3418,15.8,8579,59.5,2537,4.3,9247,14.6,-15.9,E14000841,Alistair Burt,10.5,4.3,CON,Adrianne Smyth,3.7,Mark Bowler,Saqhib Ali,34891,,70.2,,,5.8,Peter Morris,-0.4
,6226,9.0,9109,56.6,3038,4.7,4785,17.1,-25.3,E14000839,Simon Hoare,11.9,5.7,CON,Steve Unwin,5.6,Richard Barrington,Kim Fendley,30227,,71.6,,,11.7,Hugo Miéville,3.6
,15068,5.4,6121,45.0,2063,4.3,2621,12.7,-16.8,E14000837,Scott Mann,7.8,4.3,CON,Julie Lingard,3.3,Amanda Pennington,John Whitby,21689,,71.8,,,31.2,Dan Rogerson,1.2
,15405,7.1,7719,42.7,3018,4.4,3699,14.8,-17.9,E14000838,Peter Heaton-Jones,7.5,5.8,CON,Steve Crowther,6.7,Ricky Knight,Mark Cann,22341,,70.0,,,29.4,Nick Harvey,1.9
,2004,40.6,7631,36.7,1059,2.2,19488,15.9,-19.1,E14000843,Lee Rowley,10.3,2.2,LAB,James Bush,3.8,David Kesteven,Natascha Engel,17605,,67.1,,,4.2,David Batey,2.5
,2314,14.4,11650,55.1,1816,3.5,7476,22.5,-15.6,E14000842,Steve Barclay,17.1,3.5,CON,Andrew Charalambous,3.5,Helen Scott-Daniels,Ken Rustidge,28524,,62.4,,,4.5,Lucy Nethsingha,-3.4
,5768,11.4,6720,55.6,3341,3.7,5478,14.0,-19.0,E14000847,Bill Wiggin,8.3,7.0,CON,Jonathan Oakton,3.9,Daisy Blench,Sally Prentice,26716,,72.0,,,12.0,Jeanie Falconer,4.3
,3952,18.9,6728,55.4,2789,3.6,9869,12.9,-15.8,E14000845,Oliver Heald,8.8,5.3,CON,William Compton,1.8,Mario May,Chris York,28949,,70.7,,,7.6,Joe Jordan,2.4
,5657,9.8,4732,65.9,2364,4.4,5290,8.8,-15.0,E14000844,Ranil Jayawardena,4.6,4.4,CON,Robert Blay,5.3,Andrew Johnston,Amran Hussain,35573,,72.9,,,10.5,Graham Cockarill,0.0
,19299,10.2,8328,30.9,1488,2.0,5043,16.9,-16.4,E14000848,Ann Steward,11.5,3.0,LD,Michael Baker,-1.2,Mike Macartney-Filgate,Denise Burke,15256,,71.7,,,39.1,Norman Lamb,4.4
,3148,20.1,9262,51.4,2575,3.3,10547,17.6,-15.0,E14000849,Owen Paterson,12.9,4.9,CON,Andrea Allen,0.0,Duncan Kerr,Graeme Currie,27041,,66.6,,,6.0,Tom Thornhill,1.9
,4029,24.8,6150,49.8,2802,4.2,12690,12.0,-14.4,E14000846,Jacob Rees-Mogg,8.6,5.5,CON,Ernie Blaber,8.5,Katy Boyce,Todd Foreman,25439,,73.7,,,7.9,Wera Hobhouse,-6.8
,7486,14.3,7669,53.5,3806,6.5,8441,13.0,-23.0,E14000850,Liam Fox,9.1,6.5,CON,Ian Kealey,4.2,David Derbyshire,Gregory Chambers,31540,,73.6,,,12.7,Marcus Kravis,3.2
,1704,27.8,8011,50.3,1723,2.3,14509,15.3,-14.0,E14000851,Justin Tomlinson,11.7,3.3,CON,James Faulkner,5.8,Poppy Hebden-Leeder,Mark Dempsey,26295,,64.5,,,3.3,Janet Ellard,-2.7
,2075,55.9,7618,19.2,1442,3.1,26191,16.3,-18.5,E14000853,Martin McGann,13.5,3.1,LAB,Scott Hartley,0.9,Martin Collins,Mary Glindon,8997,,59.0,,,4.4,John Appleby,5.3
,3479,17.9,12275,52.5,2159,3.5,10927,20.1,-16.2,E14000855,Shailesh Vara,11.8,3.5,CON,Peter Reeve,2.0,Nicola Day,Nick Thulbourn,32070,,66.6,,,5.7,Nick Sandford,0.9
,3894,46.9,7265,23.4,1567,3.7,20074,17.0,-15.8,E14000856,Charlotte Haitham Taylor,14.1,3.7,LAB,Bruce Reid,3.4,Mark Shilcock,Pat Glass,10018,,61.3,,,9.1,Owen Temple,4.6
,5151,13.3,8109,58.1,2541,4.6,7342,14.7,-14.1,E14000857,Kit Malthouse,9.5,4.6,CON,Sue Perkins,-0.2,Dan Hill,Andrew Adams,32052,,69.7,,,9.3,Alexander Payton,0.2
,2033,27.4,8704,49.5,1174,2.3,14132,16.9,-12.7,E14000858,Andrew Bridgen,14.7,2.3,CON,Andy McWilliam,4.9,Benjamin Gravestock,Jamie McMahon,25505,,71.4,,,3.9,Mark Argent,-2.7
,1645,17.9,12097,49.0,1719,3.7,8411,25.7,-15.9,E14000852,Roger Gale,19.2,3.7,CON,Piers Wauchope,-3.7,Ed Targett,Frances Rehal,23045,,66.7,,,3.5,George Cunningham,-3.6
,1673,22.8,8412,52.2,1780,2.2,10779,17.8,-19.7,E14000859,Henry Bellingham,13.9,3.8,CON,Richard Coke,-2.0,Michael de Whalley,Jo Rust,24727,,65.4,,,3.5,Hugh Lanham,9.5
,978,36.0,8256,42.3,894,1.9,17069,17.4,-9.5,E14000854,Craig Tracey,14.6,1.9,CON,William Cash,2.1,Ian Bonner,Mike O'Brien,20042,,67.5,,,2.1,Alan Beddow,-4.0
,7892,9.8,5813,57.2,2350,3.4,4930,11.5,-20.6,E14000860,James Gray,7.6,4.6,CON,Pat Bryant,5.7,Phil Chamberlain,Peter Baldrey,28938,,74.5,,,15.6,Brian Mathew,3.1
,1673,31.8,7114,41.6,1403,2.7,12370,18.3,-15.1,E14000862,David Mackintosh,13.4,3.6,CON,Rose Gibbins,0.7,Julie Hawkins,Kevin McKeever,16163,,63.4,,,4.3,Sadik Chaudhury,6.4
,1894,33.5,5986,43.7,1939,1.5,14589,13.7,-13.9,E14000863,Chloe Smith,9.3,4.4,CON,Glenn Tingle,3.1,Adrian Holmes,Jessica Asato,19052,,66.9,,,4.3,James Wright,2.0
,1401,34.1,6354,42.4,1503,2.7,13454,16.1,-24.4,E14000861,Michael Ellis,13.0,3.8,CON,Tom Rubython,8.3,Tony Clarke,Sally Keeble,16699,,66.6,,,3.6,Angela Paterson,4.8
,1475,54.6,3501,20.8,3473,7.1,19208,9.9,-20.1,E14000865,Garry Hickton,6.5,9.9,LAB,Fran Loi,-2.9,Antonia Zenkevitch,Christopher Leslie,7314,,58.2,,,4.2,Tad Jones,9.2
,847,54.6,6542,21.0,1088,3.1,19283,18.5,-14.7,E14000866,Louise Burfitt-Dons,14.6,3.1,LAB,Stephen Crosby,-3.8,Kat Boettge,Graham Allen,7423,,53.6,,,2.4,Tony Sutton,6.0
,1532,47.6,4900,31.7,2345,3.9,20697,11.3,-19.5,E14000867,Jane Hunt,8.9,5.4,LAB,David Hollas,-1.3,Adam McGregor,Lilian Greenwood,13761,,63.0,,,3.5,Deborah Newton-Cook,10.3
,1644,19.0,8528,52.8,1336,2.0,8879,18.2,-11.9,E14000869,James Brokenshire,14.9,2.9,CON,Catherine Reilly,-1.3,Derek Moran,Ibby Mehmet,24682,,70.8,,,3.5,Jennifer Keen,-0.3
,6607,39.3,4539,23.5,6749,-1.0,19033,9.4,-15.7,E14000864,Lisa Townsend,7.0,13.9,LAB,Steve Emmens,0.6,Lesley Grahame,Clive Lewis,11379,,64.7,,,13.6,Simon Wright,10.6
,3330,15.6,8173,57.4,1732,2.5,7645,16.7,-17.7,E14000872,Jo Johnson,13.9,3.5,CON,Idham Ramadi,-2.3,Tamara Galloway,Nigel de Gruchy,28152,,72.0,,,6.8,Peter Brooks,6.6
,816,34.9,6582,45.5,1281,2.8,15945,14.4,-13.6,E14000868,Marcus Jones,14.4,2.8,CON,Alwyn Waine,4.0,Keith Kondakor,Vicky Fowler,20827,,67.2,,,1.8,Christina Jebb,-2.0
,1589,54.8,8892,19.0,839,1.9,23630,20.6,-15.4,E14000871,Kamran Ghafoor,17.4,1.9,LAB,Francis Arbour,-4.7,Simeon Hart,Michael Meacher,8187,,59.6,,,3.7,Garth Harkness,9.3
,5718,39.4,8557,25.9,1152,2.6,17529,19.2,-18.8,E14000870,Sajjad Hussain,15.4,2.6,LAB,Peter Klonowski,-0.5,Miranda Meadowcroft,Debbie Abrahams,11527,,61.8,,,12.9,Richard Marbrow,7.5
,5453,50.0,3451,19.9,5890,9.2,25356,6.8,-22.8,E14000873,Melanie Magee,4.5,11.6,LAB,Ian Macdonald,1.0,Ann Duncan,Andrew Smith,10076,,64.2,,,10.8,Alasdair Murray,7.5
,16571,12.7,3963,45.7,2497,2.3,7274,6.9,-13.1,E14000874,Nicola Blackwood,4.2,4.4,CON,Alan Harris,3.4,Larry Sanders,Sally Copley,26153,,75.1,,,28.9,Layla Moran,2.1
,2957,42.0,10738,27.7,,,19691,22.9,-14.8,E14000876,Steven Jackson,18.8,,LAB,Graeme Waddicar,-3.5,,Angela Smith,12968,,65.9,,,6.3,Rosalyn Gordon,4.3
,1487,34.9,5415,47.2,1043,2.3,15525,12.2,-16.8,E14000875,Andrew Stephenson,8.9,2.3,CON,Mick Waddington,8.3,Laura Fisk,Azhar Ali,20978,,68.7,,,3.3,Graham Roach,4.0
,5572,12.9,7956,50.1,2198,4.6,6102,16.8,-19.8,E14000881,Robert Syms,11.5,4.6,CON,David Young,2.6,Adrian Oliver,Helen Rosser,23745,,65.3,,,11.8,Philip Eades,0.1
,1265,35.2,9152,37.6,1023,1.4,14994,21.5,-13.9,E14000879,Johnny Mercer,13.8,2.4,CON,Penny Mills,4.3,Benjamin Osborn,Alison Seabeck,16020,,62.4,,,3.0,Stuart Bonar,-2.0
,2008,36.7,6731,37.8,3401,5.0,17597,14.0,-20.5,E14000880,Oliver Colvile,7.5,7.1,CON,Roy Kettle,3.5,Libby Brown,Luke Pollard,18120,,65.5,,,4.2,Graham Reed,5.0
,3745,14.4,5353,59.7,2313,5.3,6308,12.2,-19.9,E14000877,Rory Stewart,9.4,5.3,CON,John Stanyer,6.3,George Burrow,Lee Rushworth,26202,,67.4,,,8.5,Neil Hughes,1.4
,2149,58.5,3128,25.4,2463,3.9,29886,6.1,-6.9,E14000882,Chris Wilford,4.9,4.8,LAB,Nicholas McQueen,-1.7,Maureen Childs,Jim Fitzpatrick,12962,,62.2,,,4.2,Elaine Bagshaw,18.6
,1774,35.6,7485,39.7,1218,1.4,16759,15.9,-15.9,E14000878,Stewart Jackson,9.2,2.6,CON,Mary Herdman,-0.7,Darren Bisby-Boyd,Lisa Forbes,18684,,64.9,,,3.8,Darren Fower,6.1
,2828,23.8,8660,47.0,1450,2.1,10806,19.1,-13.9,E14000883,Penny Mordaunt,15.0,3.2,CON,Mike Fitzgerald,2.7,Gavin Ellis,John Ferrett,21343,,62.1,,,6.2,Darren Sanders,-3.9
,1244,56.0,5139,20.0,1643,4.9,18755,15.4,-20.7,E14000885,Richard Holden,10.9,4.9,LAB,James Barker,-1.7,Gemma Christie,Mark Hendrick,6688,,55.8,,,3.7,Jo Barton,7.8
,1622,12.6,11858,54.7,1529,2.9,6705,22.3,-12.1,E14000888,Mark Francois,18.1,2.9,CON,John Hayter,-3.1,Sarah Yapp,David Hough,29088,,68.3,,,3.0,Mike Pitt,-1.9
,2717,30.0,1989,53.8,2067,3.4,12838,4.6,-10.6,E14000887,Justine Greening,3.6,4.8,CON,Tricia Ward,1.7,Chris Poole,Sheila Boswell,23018,,67.0,,,6.3,Andrew Hallett,2.6
,9344,19.5,5595,34.8,3145,5.8,8184,13.4,-23.6,E14000884,Flick Drummond,11.2,7.5,CON,Steve Harris,1.6,Ian McCulloch,Sue Castillon,14585,,58.5,,,22.3,Gerald Vernon-Jackson,5.9
,1926,37.6,4689,46.4,1539,3.0,19136,9.2,-17.0,E14000886,Stuart Andrew,6.7,3.0,CON,Roger Tattersall,8.0,Claire Allen,Jamie Hanley,23637,,72.2,,,3.8,Ryk Downes,2.5
,1349,31.1,7133,47.1,960,1.3,13717,16.2,-14.5,E14000892,Karen Lumley,12.8,2.2,CON,Peter Jewell,3.6,Kevin White,Rebecca Blake,20771,,67.3,,,3.1,Hilary Myers,0.9
,7558,43.9,7516,16.2,880,2.2,17946,18.4,-26.7,E14000891,Jacob Young,13.9,2.2,LAB,Christopher Gallacher,2.4,Peter Pinkney,Anna Turley,6630,,63.1,,,18.5,Josh Mason,11.1
,5369,12.8,6817,56.8,3434,4.5,6578,13.3,-15.7,E14000893,Crispin Blunt,9.1,6.7,CON,Joseph Fox,3.4,Jonathan Essex,Ali Aklakul,29151,,69.9,,,10.5,Anna Tarrant,1.5
