snp_candidate,libdem_vote,labour_share,ukip_vote,conservative_share,green_vote,green_swing,labour_vote,ukip_share,libdem_swing,constituency_code,conservative_candidate,ukip_swing,green_share,majority,ukip_candidate,conservative_swing,green_candidate,labour_candidate,conservative_vote,snp_swing,turnout,snp_share,snp_vote,libdem_share,libdem_candidate,labour_swing
,3281,17.7,7745,48.2,3107,7.4,7386,18.5,-23.9,E14000585,Conor Burns,11.3,7.4,CON,Martin Houlden,3.1,Elizabeth McManus,David Stokes,20155,,58.0,,,7.9,Mike Plummer,2.9
,1947,39.0,7428,40.6,,,18943,15.3,-13.2,E14000580,Chris Green,11.3,,CON,Bob Horsefield,2.3,,Julie Hilling,19744,,66.8,,,4.0,Andrew Martin,0.5
,3983,16.9,8339,55.8,2202,2.6,8956,15.7,-14.8,E14000586,Phillip Lee,11.3,4.1,CON,Richard Thomas,3.4,Derek Florey,James Walsh,29606,,67.9,,,7.5,Patrick Smith,0.1
,1094,43.4,9057,26.3,1243,3.3,16328,24.1,-15.4,E14000588,Tanya Graham,20.6,3.3,LAB,Jason Smith,-2.8,Andy Robinson,Judith Cummins,9878,,59.1,,,2.9,Andrew Tear,2.2
,1015,16.5,14645,43.8,800,1.8,7142,33.8,-12.4,E14000582,Matt Warman,24.3,1.8,CON,Robin Hunter-Clarke,-5.7,Victoria Percival,Paul Kenny,18981,,63.9,,,2.3,David Watts,-4.2
,12228,46.6,4103,11.3,871,2.1,19312,9.9,-4.2,E14000587,Iftikhar Ahmed,9.9,2.1,LAB,Owais Rajput,-15.5,Dave Stevens,Imran Hussain,4682,,62.6,,,29.5,David Ward,13.8
,2488,18.5,9461,53.8,1564,1.7,9296,18.8,-13.8,E14000590,James Cleverly,13.8,3.1,CON,Richard Bingley,1.2,Paul Jeater,Malcolm Fincken,27071,,68.4,,,4.9,Matthew Klesel,-1.4
,1173,49.6,3140,15.3,1085,0.4,19977,7.8,-8.8,E14000589,George Grant,5.8,2.7,LAB,Harry Boota,-15.9,Celia Hickson,Naseem Shah,6160,,63.6,,,2.9,Alun Griffiths,4.2
,4577,12.5,8724,58.8,1397,1.5,6492,16.8,-14.6,E14000594,Eric Pickles,12.8,2.7,CON,Michael McGough,1.9,Reza Hossain,Liam Preston,30534,,71.6,,,8.8,David Kendall,2.6
,764,27.2,6694,53.0,915,2.1,11770,15.5,-12.9,E14000596,Andrew Percy,11.5,2.1,CON,David Jeffreys,8.2,Natalie Hurst,Jacky Crawford,22946,,63.2,,,1.8,Liz Leffman,-5.9
,2607,54.3,2024,33.5,1539,1.6,28351,3.9,-12.0,E14000592,Luke Parker,3.1,2.9,LAB,Alexander Craig,2.0,Scott Bartle,Barry Gardiner,17517,,63.5,,,5.0,Paul Lorber,7.4
,2305,43.8,3203,42.9,2120,2.2,25096,5.6,-19.6,E14000593,Mary Macleod,4.0,3.7,LAB,Richard Hendron,5.7,Daniel Goldsmith,Ruth Cadbury,24631,,67.8,,,4.0,Joe Bourke,10.2
,3937,62.1,1850,20.3,1912,2.6,29216,3.9,-35.8,E14000591,Alan Mendoza,3.9,4.1,LAB,Stephen Priestley,9.2,Shahrar Ali,Dawn Butler,9567,,61.1,,,8.4,Lauren Keith,20.9
,6765,17.6,10437,46.0,2636,3.3,9589,19.2,-15.9,E14000595,Ian Liddell-Grainger,14.4,4.8,CON,Stephen Fitzgerald,0.7,Julie Harvey-Smith,Mick Lerry,25020,,67.6,,,12.4,Theo Butt Philip,0.5
,1525,27.3,2724,22.8,22871,10.5,14904,5.0,-11.0,E14000598,Clarence Mitchell,3.2,41.8,GRN,Nigel Carter,-0.9,Caroline Lucas,Purna Sen,12448,,71.4,,,2.8,Chris Bowers,-1.7
,2689,39.3,7152,30.7,3827,6.5,18148,15.5,-18.6,E14000599,Theodora Clarke,12.1,8.3,LAB,James McMurray,2.3,Lorraine Francis,Kerry McCarthy,14168,,64.2,,,5.8,Abdul Malik,2.7
,1365,39.2,4446,40.7,3187,1.6,17738,9.8,-15.0,E14000597,Simon Kirby,6.6,7.0,CON,Ian Buchanan,2.7,Davy Jones,Nancy Platts,18428,,66.8,,,3.0,Paul Chandler,4.3
,4416,38.4,8381,24.3,5861,9.0,19505,16.5,-20.0,E14000601,Isobel Grant,13.9,11.5,LAB,Steve Wood,1.4,Tony Dyer,Karin Smyth,12377,,62.0,,,8.7,Mark Wright,-0.1
,5178,18.8,8881,50.5,2252,2.8,9970,16.7,-22.6,E14000603,Keith Simpson,12.2,4.2,CON,Stuart Agnew,4.3,Andrew Boswell,Chris Jones,26808,,71.1,,,9.8,Steve Riley,4.9
,2836,22.2,6285,53.0,1823,2.8,9779,14.3,-15.5,E14000604,Robert Neill,11.0,4.1,CON,Emmett Jenner,-0.5,Roisin Robertson,John Courtneidge,23343,,67.3,,,6.4,Sam Webber,5.6
,3214,34.4,4889,43.9,2952,4.7,17823,9.4,-25.3,E14000600,Charlotte Leslie,7.1,5.7,CON,Michael Frost,6.0,Justin Quinnell,Darren Jones,22767,,67.6,,,6.2,Clare Campion-Smith,8.5
,12103,35.7,1940,15.2,17227,23.0,22900,3.0,-29.2,E14000602,Claire Hiscott,1.8,26.8,LAB,Paul Turner,-3.2,Darren Hall,Thangam Debbonaire,9752,,72.0,,,18.8,Stephen Williams,8.1
,1467,18.4,9074,56.1,1216,2.6,8470,19.7,-10.2,E14000606,Charles Walker,15.6,2.6,CON,David Platt,-2.7,Russell Secker,Edward Robinson,25797,,63.1,,,3.2,Anthony Rowlands,0.8
,2616,22.2,8163,53.8,1729,3.3,11604,15.6,-14.6,E14000605,Sajid Javid,9.9,3.3,CON,Stuart Cross,10.2,Spoz Esposito,Tom Ebbutt,28133,,71.2,,,5.0,Bart Ricketts,0.4
,932,41.1,5595,41.9,1141,2.5,18592,12.4,-14.9,E14000611,David Nuttall,9.5,2.5,CON,Ian Henderson,1.8,John Southworth,James Frith,18970,,66.9,,,2.1,Richard Baum,5.9
,,,11675,,7400,13.8,,21.7,,E14000608,,4.4,13.8,SPE,David Fowler,,Alan Francis,,,,69.2,,,,,
,1232,27.3,8658,50.1,1224,2.5,13484,17.5,-13.3,E14000610,Andrew Griffiths,14.6,2.5,CON,Mike Green,5.6,Samantha Patrone,Jon Wheale,24736,,65.5,,,2.5,David MacDonald,-4.5
,1690,45.1,6299,34.6,1434,2.0,21272,13.3,-14.6,E14000612,Daniel Critchlow,11.2,3.0,LAB,Séamus Martin,1.0,Glyn Heath,Ivan Lewis,16350,,63.9,,,3.6,Paul Ankers,4.6
,2120,37.2,5674,45.2,1544,2.1,19876,10.6,-12.9,E14000607,Anna Soubry,8.4,2.9,CON,Frank Dunne,6.2,David Kirwan,Nick Palmer,24163,,74.4,,,4.0,Stan Heptinstall,-1.1
,2580,63.3,2413,13.2,5187,7.1,32614,4.7,-17.4,E14000615,Naomi Newstead,4.7,10.1,LAB,David Kurten,0.1,Amelia Womack,Harriet Harman,6790,,64.0,,,5.0,Yahaya Kiingi,4.1
,3581,17.7,8739,53.6,4692,3.6,10514,14.7,-20.4,E14000613,Jo Churchill,9.6,7.9,CON,John Howlett,6.1,Helen Geake,Bill Edwards,31815,,69.0,,,6.0,David Chappell,1.1
,2666,35.4,5950,43.6,2090,2.2,18927,11.1,-20.2,E14000614,Craig Whittaker,8.8,3.9,CON,Paul Rogan,4.2,Jenny Shepherd,Josh Fenton-Glynn,23354,,68.9,,,5.0,Alisdair Calder McGregor,8.4
,11707,37.6,6864,13.5,850,2.1,14951,17.3,-6.2,E14000609,Sarah Cockburn-Price,15.0,2.1,LAB,Tom Commis,-3.1,Mike Hargreaves,Julie Cooper,5374,,61.6,,,29.5,Gordon Birtwistle,6.3
,6227,24.5,7289,42.9,3746,4.7,13120,13.6,-20.9,E14000619,Julian Brazier,9.8,7.0,CON,Jim Gascoyne,-1.9,Stuart Jeffery,Hugh Lanning,22918,,64.0,,,11.6,James Flanagan,8.4
